Datetime	Cumulative Time	N2	O2	4% H2	10% CO	CH4	H2
2014-01-15 09:39:31	0.00000	0.0	0.1	0.0	-0.9	-0.0	-0.1
2014-01-15 09:39:33	0.00056	0.0	0.2	0.3	-0.6	0.3	-0.1
2014-01-15 09:39:34	0.00083	96.0	0.0	-0.3	-0.9	-0.3	-0.1
2014-01-15 09:39:35	0.00111	97.0	0.0	0.3	-0.9	0.0	-0.1
2014-01-15 09:39:36	0.00139	97.0	0.1	-0.0	-1.2	0.3	-0.1
2014-01-15 09:39:37	0.00167	98.0	0.1	-0.3	-0.6	0.0	-0.1
2014-01-15 09:39:38	0.00194	97.0	0.1	0.3	-0.9	0.0	-0.1
2014-01-15 09:39:39	0.00222	98.0	0.2	-0.3	-0.6	0.0	-0.0
2014-01-15 09:39:40	0.00250	99.0	0.1	-0.0	-1.2	-0.0	-0.1
2014-01-15 09:39:41	0.00278	99.0	0.1	0.0	-0.3	0.3	-0.1
2014-01-15 09:39:42	0.00306	99.0	0.1	0.0	-0.6	-0.3	-0.1
2014-01-15 09:39:43	0.00333	98.0	0.1	-0.3	-0.9	-0.0	-0.1
2014-01-15 09:39:44	0.00361	98.0	0.2	0.3	-0.6	0.0	-0.1
2014-01-15 09:39:45	0.00389	98.0	0.1	0.0	-0.6	-0.3	-0.1
2014-01-15 09:39:46	0.00417	98.0	0.1	-0.6	-0.9	0.0	-0.1
2014-01-15 09:39:47	0.00444	99.0	0.2	-0.0	-0.6	0.0	-0.1
2014-01-15 09:39:48	0.00472	99.0	0.1	0.3	-1.2	-0.0	-0.1
2014-01-15 09:39:49	0.00500	99.0	0.1	0.3	-1.2	0.0	-0.1
2014-01-15 09:39:50	0.00528	99.0	0.1	0.0	-0.6	-0.0	-0.1
2014-01-15 09:39:51	0.00556	99.0	0.1	0.0	-0.6	-0.3	-0.0
2014-01-15 09:39:52	0.00583	99.0	0.1	0.3	-1.2	0.0	-0.1
2014-01-15 09:39:53	0.00611	99.0	0.1	-0.3	-0.9	0.3	-0.1
2014-01-15 09:39:54	0.00639	100.0	0.1	0.3	-0.9	0.0	-0.1
2014-01-15 09:39:55	0.00667	99.0	0.1	0.0	-0.9	-0.0	-0.1
2014-01-15 09:39:56	0.00694	98.0	0.2	-0.3	-0.6	0.0	0.0
2014-01-15 09:39:57	0.00722	99.0	0.0	0.3	-0.9	0.0	-0.0
2014-01-15 09:39:58	0.00750	99.0	0.1	0.0	-0.6	0.3	-0.1
2014-01-15 09:39:59	0.00778	98.0	0.1	-0.0	-0.6	0.0	-0.1
2014-01-15 09:40:00	0.00806	99.0	0.1	0.0	-0.9	0.3	-0.1
2014-01-15 09:40:01	0.00833	98.0	0.2	-0.0	-1.2	0.3	-0.0
2014-01-15 09:40:02	0.00861	99.0	0.0	-0.0	-1.2	-0.0	-0.1
2014-01-15 09:40:03	0.00889	99.0	0.1	0.3	-0.6	0.3	-0.1
2014-01-15 09:40:04	0.00917	99.0	0.2	-0.3	-0.6	0.0	0.0
2014-01-15 09:40:05	0.00944	98.0	0.0	0.0	-0.9	0.3	-0.1
2014-01-15 09:40:06	0.00972	100.0	0.1	-0.3	-0.6	0.0	-0.2
2014-01-15 09:40:07	0.01000	98.0	0.1	-0.3	-0.9	-0.0	-0.1
