nm, %R
2500.000000, 11.627781
2499.000000, 11.347482
2498.000000, 11.224825
2497.000000, 11.376511
2496.000000, 11.277734
2495.000000, 11.513304
2494.000000, 11.290351
2493.000000, 11.118608
2492.000000, 10.960050
2491.000000, 11.484746
2490.000000, 11.272908
2489.000000, 11.724438
2488.000000, 11.395707
2487.000000, 11.596286
2486.000000, 11.339226
2485.000000, 11.115806
2484.000000, 11.588593
2483.000000, 11.466716
2482.000000, 11.335286
2481.000000, 11.295769
2480.000000, 11.390333
2479.000000, 11.198182
2478.000000, 11.471459
2477.000000, 11.417943
2476.000000, 11.216549
2475.000000, 11.519327
2474.000000, 11.375996
2473.000000, 11.231495
2472.000000, 11.346381
2471.000000, 11.399672
2470.000000, 11.258381
2469.000000, 11.343512
2468.000000, 11.589390
2467.000000, 11.442461
2466.000000, 11.321267
2465.000000, 11.260411
2464.000000, 11.322313
2463.000000, 11.353262
2462.000000, 11.416877
2461.000000, 11.296939
2460.000000, 11.422741
2459.000000, 11.425047
2458.000000, 11.382417
2457.000000, 11.344484
2456.000000, 11.439365
2455.000000, 11.298975
2454.000000, 11.332559
2453.000000, 11.374831
2452.000000, 11.419295
2451.000000, 11.355321
2450.000000, 11.318815
2449.000000, 11.359074
2448.000000, 11.402697
2447.000000, 11.365822
2446.000000, 11.345575
2445.000000, 11.386948
2444.000000, 11.333196
2443.000000, 11.350682
2442.000000, 11.372383
2441.000000, 11.377991
2440.000000, 11.367161
2439.000000, 11.398577
2438.000000, 11.351980
2437.000000, 11.358851
2436.000000, 11.370509
2435.000000, 11.372230
2434.000000, 11.378874
2433.000000, 11.385270
2432.000000, 11.340607
2431.000000, 11.333828
2430.000000, 11.372744
2429.000000, 11.362035
2428.000000, 11.352556
2427.000000, 11.326089
2426.000000, 11.335805
2425.000000, 11.405398
2424.000000, 11.380247
2423.000000, 11.366553
2422.000000, 11.389449
2421.000000, 11.394719
2420.000000, 11.399704
2419.000000, 11.364081
2418.000000, 11.360572
2417.000000, 11.373950
2416.000000, 11.355809
2415.000000, 11.343582
2414.000000, 11.349378
2413.000000, 11.364596
2412.000000, 11.366929
2411.000000, 11.377746
2410.000000, 11.394829
2409.000000, 11.373481
2408.000000, 11.367545
2407.000000, 11.375534
2406.000000, 11.383164
2405.000000, 11.376915
2404.000000, 11.399219
2403.000000, 11.392961
2402.000000, 11.370787
2401.000000, 11.373434
2400.000000, 11.372702
2399.000000, 11.349396
2398.000000, 11.351290
2397.000000, 11.372823
2396.000000, 11.390653
2395.000000, 11.400187
2394.000000, 11.393976
2393.000000, 11.401882
2392.000000, 11.403374
2391.000000, 11.383929
2390.000000, 11.376279
2389.000000, 11.400998
2388.000000, 11.420590
2387.000000, 11.409739
2386.000000, 11.403334
2385.000000, 11.424229
2384.000000, 11.396350
2383.000000, 11.392738
2382.000000, 11.404534
2381.000000, 11.410210
2380.000000, 11.390181
2379.000000, 11.388013
2378.000000, 11.424443
2377.000000, 11.438569
2376.000000, 11.439400
2375.000000, 11.449264
2374.000000, 11.438836
2373.000000, 11.424878
2372.000000, 11.417919
2371.000000, 11.432202
2370.000000, 11.434963
2369.000000, 11.432091
2368.000000, 11.433214
2367.000000, 11.442352
2366.000000, 11.432317
2365.000000, 11.442612
2364.000000, 11.430643
2363.000000, 11.423188
2362.000000, 11.446411
2361.000000, 11.459408
2360.000000, 11.428655
2359.000000, 11.437252
2358.000000, 11.446475
2357.000000, 11.461421
2356.000000, 11.469233
2355.000000, 11.449431
2354.000000, 11.428555
2353.000000, 11.455639
2352.000000, 11.465131
2351.000000, 11.442905
2350.000000, 11.478554
2349.000000, 11.471148
2348.000000, 11.467836
2347.000000, 11.453580
2346.000000, 11.475251
2345.000000, 11.450344
2344.000000, 11.468350
2343.000000, 11.468017
2342.000000, 11.470996
2341.000000, 11.469683
2340.000000, 11.477279
2339.000000, 11.446885
2338.000000, 11.468152
2337.000000, 11.455843
2336.000000, 11.443622
2335.000000, 11.470716
2334.000000, 11.459667
2333.000000, 11.473953
2332.000000, 11.469630
2331.000000, 11.455506
2330.000000, 11.467803
2329.000000, 11.476454
2328.000000, 11.445027
2327.000000, 11.469081
2326.000000, 11.463869
2325.000000, 11.474490
2324.000000, 11.476508
2323.000000, 11.464017
2322.000000, 11.492287
2321.000000, 11.483452
2320.000000, 11.472901
2319.000000, 11.476612
2318.000000, 11.487051
2317.000000, 11.488865
2316.000000, 11.487078
2315.000000, 11.500325
2314.000000, 11.473240
2313.000000, 11.498329
2312.000000, 11.508075
2311.000000, 11.505581
2310.000000, 11.496554
2309.000000, 11.500733
2308.000000, 11.502894
2307.000000, 11.505401
2306.000000, 11.505144
2305.000000, 11.506400
2304.000000, 11.522775
2303.000000, 11.531091
2302.000000, 11.514721
2301.000000, 11.510419
2300.000000, 11.514965
2299.000000, 11.494912
2298.000000, 11.513845
2297.000000, 11.521671
2296.000000, 11.508373
2295.000000, 11.486341
2294.000000, 11.503651
2293.000000, 11.492493
2292.000000, 11.491562
2291.000000, 11.493115
2290.000000, 11.492092
2289.000000, 11.510476
2288.000000, 11.477889
2287.000000, 11.491412
2286.000000, 11.486684
2285.000000, 11.478435
2284.000000, 11.469343
2283.000000, 11.469494
2282.000000, 11.471552
2281.000000, 11.480171
2280.000000, 11.468549
2279.000000, 11.461125
2278.000000, 11.462582
2277.000000, 11.474670
2276.000000, 11.475288
2275.000000, 11.455352
2274.000000, 11.458489
2273.000000, 11.471337
2272.000000, 11.461917
2271.000000, 11.454253
2270.000000, 11.450652
2269.000000, 11.455227
2268.000000, 11.448116
2267.000000, 11.440210
2266.000000, 11.441077
2265.000000, 11.449207
2264.000000, 11.443237
2263.000000, 11.438512
2262.000000, 11.440602
2261.000000, 11.450850
2260.000000, 11.446352
2259.000000, 11.429072
2258.000000, 11.443366
2257.000000, 11.440157
2256.000000, 11.426158
2255.000000, 11.427288
2254.000000, 11.438270
2253.000000, 11.421047
2252.000000, 11.426611
2251.000000, 11.421624
2250.000000, 11.418840
2249.000000, 11.430909
2248.000000, 11.434127
2247.000000, 11.423077
2246.000000, 11.429454
2245.000000, 11.425063
2244.000000, 11.422568
2243.000000, 11.426676
2242.000000, 11.423106
2241.000000, 11.420835
2240.000000, 11.425894
2239.000000, 11.423153
2238.000000, 11.416449
2237.000000, 11.425783
2236.000000, 11.414930
2235.000000, 11.411766
2234.000000, 11.419478
2233.000000, 11.411484
2232.000000, 11.419833
2231.000000, 11.417325
2230.000000, 11.421891
2229.000000, 11.426836
2228.000000, 11.422933
2227.000000, 11.419477
2226.000000, 11.418863
2225.000000, 11.412973
2224.000000, 11.421640
2223.000000, 11.412306
2222.000000, 11.412075
2221.000000, 11.419241
2220.000000, 11.424993
2219.000000, 11.421044
2218.000000, 11.418959
2217.000000, 11.417395
2216.000000, 11.418278
2215.000000, 11.423547
2214.000000, 11.425975
2213.000000, 11.419812
2212.000000, 11.418689
2211.000000, 11.421265
2210.000000, 11.432727
2209.000000, 11.431527
2208.000000, 11.430996
2207.000000, 11.433308
2206.000000, 11.433779
2205.000000, 11.437086
2204.000000, 11.440030
2203.000000, 11.438784
2202.000000, 11.443220
2201.000000, 11.450781
