nm, %T
2500.000000, 87.770733
2499.000000, 87.882718
2498.000000, 87.734816
2497.000000, 87.522749
2496.000000, 87.312603
2495.000000, 87.550778
2494.000000, 87.698745
2493.000000, 87.292159
2492.000000, 87.256559
2491.000000, 87.759750
2490.000000, 87.314721
2489.000000, 87.754511
2488.000000, 87.478671
2487.000000, 87.625040
2486.000000, 87.510577
2485.000000, 87.737686
2484.000000, 87.697201
2483.000000, 87.410850
2482.000000, 87.840342
2481.000000, 87.498911
2480.000000, 87.519053
2479.000000, 87.680273
2478.000000, 87.400571
2477.000000, 87.579808
2476.000000, 87.532246
2475.000000, 87.592615
2474.000000, 87.551840
2473.000000, 87.775615
2472.000000, 87.730882
2471.000000, 87.793977
2470.000000, 87.518050
2469.000000, 87.710274
2468.000000, 87.761267
2467.000000, 87.643461
2466.000000, 87.561526
2465.000000, 87.495109
2464.000000, 87.690876
2463.000000, 87.610266
2462.000000, 87.653554
2461.000000, 87.762029
2460.000000, 87.726699
2459.000000, 87.656208
2458.000000, 87.703410
2457.000000, 87.722202
2456.000000, 87.712455
2455.000000, 87.622757
2454.000000, 87.726091
2453.000000, 87.685550
2452.000000, 87.710384
2451.000000, 87.699275
2450.000000, 87.657073
2449.000000, 87.661211
2448.000000, 87.721809
2447.000000, 87.744300
2446.000000, 87.711019
2445.000000, 87.689870
2444.000000, 87.723857
2443.000000, 87.758907
2442.000000, 87.782656
2441.000000, 87.774750
2440.000000, 87.750730
2439.000000, 87.723772
2438.000000, 87.746326
2437.000000, 87.717646
2436.000000, 87.763269
2435.000000, 87.763767
2434.000000, 87.803864
2433.000000, 87.780718
2432.000000, 87.765328
2431.000000, 87.765779
2430.000000, 87.790311
2429.000000, 87.827423
2428.000000, 87.859411
2427.000000, 87.840113
2426.000000, 87.772513
2425.000000, 87.810435
2424.000000, 87.850104
2423.000000, 87.829466
2422.000000, 87.817642
2421.000000, 87.856950
2420.000000, 87.865960
2419.000000, 87.863305
2418.000000, 87.858979
2417.000000, 87.880804
2416.000000, 87.829247
2415.000000, 87.834113
2414.000000, 87.883228
2413.000000, 87.869334
2412.000000, 87.867723
2411.000000, 87.919885
2410.000000, 87.930895
2409.000000, 87.902951
2408.000000, 87.885242
2407.000000, 87.888946
2406.000000, 87.899417
2405.000000, 87.903934
2404.000000, 87.907471
2403.000000, 87.893299
2402.000000, 87.908259
2401.000000, 87.928272
2400.000000, 87.897735
2399.000000, 87.877222
2398.000000, 87.898693
2397.000000, 87.906055
2396.000000, 87.935273
2395.000000, 87.956676
2394.000000, 87.967168
2393.000000, 88.007687
2392.000000, 87.988830
2391.000000, 87.971693
2390.000000, 87.954824
2389.000000, 87.962492
2388.000000, 88.029305
2387.000000, 88.020836
2386.000000, 87.982395
2385.000000, 87.987337
2384.000000, 88.002323
2383.000000, 88.006551
2382.000000, 88.015828
2381.000000, 88.018294
2380.000000, 88.022687
2379.000000, 88.011258
2378.000000, 88.026657
2377.000000, 88.024091
2376.000000, 87.997902
2375.000000, 88.000170
2374.000000, 87.996493
2373.000000, 88.015060
2372.000000, 88.051281
2371.000000, 88.049325
2370.000000, 88.031101
2369.000000, 88.031711
2368.000000, 88.027752
2367.000000, 88.062159
2366.000000, 88.047904
2365.000000, 88.046642
2364.000000, 88.078915
2363.000000, 88.081813
2362.000000, 88.081420
2361.000000, 88.063645
2360.000000, 88.063624
2359.000000, 88.119171
2358.000000, 88.110580
2357.000000, 88.085460
2356.000000, 88.100682
2355.000000, 88.094461
2354.000000, 88.088864
2353.000000, 88.105950
2352.000000, 88.089285
2351.000000, 88.067927
2350.000000, 88.089673
2349.000000, 88.116770
2348.000000, 88.110902
2347.000000, 88.138168
2346.000000, 88.133509
2345.000000, 88.099351
2344.000000, 88.114492
2343.000000, 88.095721
2342.000000, 88.131601
2341.000000, 88.150873
2340.000000, 88.132466
2339.000000, 88.126444
2338.000000, 88.160428
2337.000000, 88.147403
2336.000000, 88.143331
2335.000000, 88.160386
2334.000000, 88.152927
2333.000000, 88.181887
2332.000000, 88.148636
2331.000000, 88.151302
2330.000000, 88.151135
2329.000000, 88.178410
2328.000000, 88.177478
2327.000000, 88.173037
2326.000000, 88.152441
2325.000000, 88.176827
2324.000000, 88.181853
2323.000000, 88.185696
2322.000000, 88.189005
2321.000000, 88.197064
2320.000000, 88.189731
2319.000000, 88.209611
2318.000000, 88.208622
2317.000000, 88.200328
2316.000000, 88.194045
2315.000000, 88.177507
2314.000000, 88.208465
2313.000000, 88.203553
2312.000000, 88.202650
2311.000000, 88.228778
2310.000000, 88.226107
2309.000000, 88.219187
2308.000000, 88.220681
2307.000000, 88.251235
2306.000000, 88.270718
2305.000000, 88.279877
2304.000000, 88.277108
2303.000000, 88.287714
2302.000000, 88.295164
2301.000000, 88.289854
2300.000000, 88.277099
2299.000000, 88.247038
2298.000000, 88.274654
2297.000000, 88.276342
2296.000000, 88.253563
2295.000000, 88.279619
2294.000000, 88.285468
2293.000000, 88.252403
2292.000000, 88.237353
2291.000000, 88.264142
2290.000000, 88.287737
2289.000000, 88.281138
2288.000000, 88.307667
2287.000000, 88.284535
2286.000000, 88.280023
2285.000000, 88.296358
2284.000000, 88.256244
2283.000000, 88.294997
2282.000000, 88.290730
2281.000000, 88.291895
2280.000000, 88.275509
2279.000000, 88.278449
2278.000000, 88.278019
2277.000000, 88.284085
2276.000000, 88.296284
2275.000000, 88.290961
2274.000000, 88.291057
2273.000000, 88.285641
2272.000000, 88.315188
2271.000000, 88.307586
2270.000000, 88.316816
2269.000000, 88.323944
2268.000000, 88.332968
2267.000000, 88.335871
2266.000000, 88.332356
2265.000000, 88.319498
2264.000000, 88.319259
2263.000000, 88.327515
2262.000000, 88.321392
2261.000000, 88.325045
2260.000000, 88.352050
2259.000000, 88.329043
2258.000000, 88.327631
2257.000000, 88.320385
2256.000000, 88.309754
2255.000000, 88.322532
2254.000000, 88.320160
2253.000000, 88.319135
2252.000000, 88.336005
2251.000000, 88.338045
2250.000000, 88.319986
2249.000000, 88.348718
2248.000000, 88.343162
2247.000000, 88.340973
2246.000000, 88.323516
2245.000000, 88.350707
2244.000000, 88.358662
2243.000000, 88.368437
2242.000000, 88.346136
2241.000000, 88.356985
2240.000000, 88.367070
2239.000000, 88.351779
2238.000000, 88.353508
2237.000000, 88.364805
2236.000000, 88.342723
2235.000000, 88.354999
2234.000000, 88.353645
2233.000000, 88.357876
2232.000000, 88.364994
2231.000000, 88.368724
2230.000000, 88.353490
2229.000000, 88.371130
2228.000000, 88.379182
2227.000000, 88.386980
2226.000000, 88.389049
2225.000000, 88.380811
2224.000000, 88.376974
2223.000000, 88.389434
2222.000000, 88.395011
2221.000000, 88.398815
2220.000000, 88.401639
2219.000000, 88.383970
2218.000000, 88.399015
2217.000000, 88.392765
2216.000000, 88.405497
2215.000000, 88.420111
2214.000000, 88.416993
2213.000000, 88.411239
2212.000000, 88.421979
2211.000000, 88.428402
2210.000000, 88.424288
2209.000000, 88.434371
2208.000000, 88.447859
2207.000000, 88.441756
2206.000000, 88.440805
2205.000000, 88.456113
2204.000000, 88.461597
2203.000000, 88.450980
2202.000000, 88.452869
2201.000000, 88.466832
2200.000000, 88.476828
2199.000000, 88.479287
2198.000000, 88.495052
2197.000000, 88.494932
2196.000000, 88.495798
2195.000000, 88.503624
2194.000000, 88.492565
2193.000000, 88.498516
2192.000000, 88.501499
2191.000000, 88.513028
2190.000000, 88.531758
2189.000000, 88.517293
2188.000000, 88.516765
