nm	T	R	A
2500.000000	  87.770733	  11.627781	   0.601486
2499.000000	  87.882718	  11.347482	   0.769800
2498.000000	  87.734816	  11.224825	   1.040359
2497.000000	  87.522749	  11.376511	   1.100740
2496.000000	  87.312603	  11.277734	   1.409663
2495.000000	  87.550778	  11.513304	   0.935918
2494.000000	  87.698745	  11.290351	   1.010904
2493.000000	  87.292159	  11.118608	   1.589233
2492.000000	  87.256559	  10.960050	   1.783391
2491.000000	  87.759750	  11.484746	   0.755504
2490.000000	  87.314721	  11.272908	   1.412371
2489.000000	  87.754511	  11.724438	   0.521051
2488.000000	  87.478671	  11.395707	   1.125622
2487.000000	  87.625040	  11.596286	   0.778674
2486.000000	  87.510577	  11.339226	   1.150197
2485.000000	  87.737686	  11.115806	   1.146508
2484.000000	  87.697201	  11.588593	   0.714206
2483.000000	  87.410850	  11.466716	   1.122434
2482.000000	  87.840342	  11.335286	   0.824372
2481.000000	  87.498911	  11.295769	   1.205320
2480.000000	  87.519053	  11.390333	   1.090614
2479.000000	  87.680273	  11.198182	   1.121545
2478.000000	  87.400571	  11.471459	   1.127970
2477.000000	  87.579808	  11.417943	   1.002249
2476.000000	  87.532246	  11.216549	   1.251205
2475.000000	  87.592615	  11.519327	   0.888058
2474.000000	  87.551840	  11.375996	   1.072164
2473.000000	  87.775615	  11.231495	   0.992890
2472.000000	  87.730882	  11.346381	   0.922737
2471.000000	  87.793977	  11.399672	   0.806351
2470.000000	  87.518050	  11.258381	   1.223569
2469.000000	  87.710274	  11.343512	   0.946214
2468.000000	  87.761267	  11.589390	   0.649343
2467.000000	  87.643461	  11.442461	   0.914078
2466.000000	  87.561526	  11.321267	   1.117207
2465.000000	  87.495109	  11.260411	   1.244480
2464.000000	  87.690876	  11.322313	   0.986811
2463.000000	  87.610266	  11.353262	   1.036472
2462.000000	  87.653554	  11.416877	   0.929569
2461.000000	  87.762029	  11.296939	   0.941032
2460.000000	  87.726699	  11.422741	   0.850560
2459.000000	  87.656208	  11.425047	   0.918745
2458.000000	  87.703410	  11.382417	   0.914173
2457.000000	  87.722202	  11.344484	   0.933314
2456.000000	  87.712455	  11.439365	   0.848180
2455.000000	  87.622757	  11.298975	   1.078268
2454.000000	  87.726091	  11.332559	   0.941350
2453.000000	  87.685550	  11.374831	   0.939619
2452.000000	  87.710384	  11.419295	   0.870321
2451.000000	  87.699275	  11.355321	   0.945404
2450.000000	  87.657073	  11.318815	   1.024112
2449.000000	  87.661211	  11.359074	   0.979715
2448.000000	  87.721809	  11.402697	   0.875494
2447.000000	  87.744300	  11.365822	   0.889878
2446.000000	  87.711019	  11.345575	   0.943406
2445.000000	  87.689870	  11.386948	   0.923182
2444.000000	  87.723857	  11.333196	   0.942947
2443.000000	  87.758907	  11.350682	   0.890411
2442.000000	  87.782656	  11.372383	   0.844961
2441.000000	  87.774750	  11.377991	   0.847259
2440.000000	  87.750730	  11.367161	   0.882109
2439.000000	  87.723772	  11.398577	   0.877651
2438.000000	  87.746326	  11.351980	   0.901694
2437.000000	  87.717646	  11.358851	   0.923503
2436.000000	  87.763269	  11.370509	   0.866222
2435.000000	  87.763767	  11.372230	   0.864003
2434.000000	  87.803864	  11.378874	   0.817262
2433.000000	  87.780718	  11.385270	   0.834012
2432.000000	  87.765328	  11.340607	   0.894065
2431.000000	  87.765779	  11.333828	   0.900393
2430.000000	  87.790311	  11.372744	   0.836945
2429.000000	  87.827423	  11.362035	   0.810542
