# 8/15/2014	V1	V2	V3	V4	V5	V6	V7	V8	Resistance A	Resistance  B	Average Sheet Resistance	Current In
#Invalid reading for V1, V2, V3, V4, V5, V7	0.244	-0.207	0.266	-0.345	0.27	0.18600000000000003	0.261	0.313	48139134.86	46721331.88	47430233.37	2.5e-08
2014-08-15 10:29:22	-0.21100000000000002	0.22	-0.00683	0.327	-0.266	0.19699999999999998	-0.266	0.307	34681201.61	46920187.1	40800694.36	2.5e-08
2014-08-15 10:29:47	-0.249	0.228	-0.23399999999999999	0.33299999999999996	-0.27399999999999997	0.17800000000000002	-0.27	0.261	47377744.08	44525580.2	45951662.14	2.5e-08
2014-08-15 10:30:12	-0.23600000000000002	0.20800000000000002	-0.28	0.299	-0.256	0.198	-0.27899999999999997	0.273	46346091.85	45599802.81	45972947.33	2.5e-08
2014-08-15 10:30:36	-0.223	0.226	-0.245	0.335	-0.266	0.195	-0.271	0.319	46608585.71	47625212.22	47116898.96	2.5e-08
2014-08-15 10:31:00	-0.21899999999999997	0.22699999999999998	-0.248	0.35100000000000003	-0.278	0.184	-0.273	0.324	47329686.52	47973505.65	47651596.08	2.5e-08
#Invalid reading for V3	-0.214	0.23	0.0116	0.504	-0.28800000000000003	0.187	-0.276	0.313	42432860.7	48218771.96	45325816.33	2.5e-08
2014-08-15 10:31:53	-0.242	0.21600000000000003	-0.22699999999999998	0.36700000000000005	-0.28600000000000003	0.16899999999999998	-0.272	0.28600000000000003	47698587.68	45899880.13	46799233.91	2.5e-08
2014-08-15 10:32:17	-0.27899999999999997	0.193	-0.253	0.322	-0.245	0.231	-0.278	0.299	47431503.68	47741164.72	47586334.2	2.5e-08
2014-08-15 10:32:42	-0.24	0.20199999999999999	-0.38299999999999995	0.371	-0.20199999999999999	0.23399999999999999	-0.376	0.36200000000000004	54249794.24	53183878.68	53716836.46	2.5e-08
2014-08-15 10:33:06	-0.213	0.209	-0.392	0.363	-0.19399999999999998	0.248	-0.373	0.381	53363716.52	54221123.12	53792419.82	2.5e-08
2014-08-15 10:33:35	-0.217	0.20800000000000002	-0.402	1.2	-0.29100000000000004	0.126	-0.379	0.37	91905658.91	52854280.73	72379969.82	2.5e-08
2014-08-15 10:34:00	-0.213	0.21	-0.395	0.359	-0.198	0.237	-0.37799999999999995	0.377	53345868.9	53940356.55	53643112.72	2.5e-08
2014-08-15 10:34:24	-0.20199999999999999	0.201	-0.35200000000000004	0.395	-0.18100000000000002	0.204	-0.395	0.365	52121182.4	51920619.98	52020901.19	2.5e-08
2014-08-15 10:34:49	-0.204	0.20600000000000002	-0.38	0.37	-0.201	0.228	-0.38	0.37200000000000005	52556161.16	53560355.27	53058258.22	2.5e-08
2014-08-15 10:35:13	-0.21	0.2	-0.391	0.365	-0.185	0.24	-0.382	0.377	52828178.78	53674508.52	53251343.65	2.5e-08
