# 8/15/2014	V1	V2	V3	V4	V5	V6	V7	V8	Resistance A	Resistance  B	Average Sheet Resistance	Current In
2014-08-15 10:28:53	2.44E-1	-2.07E-1	2.66E-1	-3.45E-1	2.70E-1	1.86E-1	2.61E-1	3.13E-1	48139134.86	46721331.88	47430233.37	0.000000025
2014-08-15 10:29:22	-2.11E-1	2.20E-1	-6.83E-3	3.27E-1	-2.66E-1	1.97E-1	-2.66E-1	3.07E-1	34681201.61	46920187.10	40800694.36	0.000000025
2014-08-15 10:29:47	-2.49E-1	2.28E-1	-2.34E-1	3.33E-1	-2.74E-1	1.78E-1	-2.70E-1	2.61E-1	47377744.08	44525580.20	45951662.14	0.000000025
2014-08-15 10:30:12	-2.36E-1	2.08E-1	-2.80E-1	2.99E-1	-2.56E-1	1.98E-1	-2.79E-1	2.73E-1	46346091.85	45599802.81	45972947.33	0.000000025
2014-08-15 10:30:36	-2.23E-1	2.26E-1	-2.45E-1	3.35E-1	-2.66E-1	1.95E-1	-2.71E-1	3.19E-1	46608585.71	47625212.22	47116898.96	0.000000025
2014-08-15 10:31:00	-2.19E-1	2.27E-1	-2.48E-1	3.51E-1	-2.78E-1	1.84E-1	-2.73E-1	3.24E-1	47329686.52	47973505.65	47651596.08	0.000000025
2014-08-15 10:31:29	-2.14E-1	2.30E-1	1.16E-2	5.04E-1	-2.88E-1	1.87E-1	-2.76E-1	3.13E-1	42432860.70	48218771.96	45325816.33	0.000000025
2014-08-15 10:31:53	-2.42E-1	2.16E-1	-2.27E-1	3.67E-1	-2.86E-1	1.69E-1	-2.72E-1	2.86E-1	47698587.68	45899880.13	46799233.91	0.000000025
2014-08-15 10:32:17	-2.79E-1	1.93E-1	-2.53E-1	3.22E-1	-2.45E-1	2.31E-1	-2.78E-1	2.99E-1	47431503.68	47741164.72	47586334.20	0.000000025
2014-08-15 10:32:42	-2.40E-1	2.02E-1	-3.83E-1	3.71E-1	-2.02E-1	2.34E-1	-3.76E-1	3.62E-1	54249794.24	53183878.68	53716836.46	0.000000025
2014-08-15 10:33:06	-2.13E-1	2.09E-1	-3.92E-1	3.63E-1	-1.94E-1	2.48E-1	-3.73E-1	3.81E-1	53363716.52	54221123.12	53792419.82	0.000000025
2014-08-15 10:33:35	-2.17E-1	2.08E-1	-4.02E-1	1.20E+0	-2.91E-1	1.26E-1	-3.79E-1	3.70E-1	91905658.91	52854280.73	72379969.82	0.000000025
2014-08-15 10:34:00	-2.13E-1	2.10E-1	-3.95E-1	3.59E-1	-1.98E-1	2.37E-1	-3.78E-1	3.77E-1	53345868.90	53940356.55	53643112.72	0.000000025
2014-08-15 10:34:24	-2.02E-1	2.01E-1	-3.52E-1	3.95E-1	-1.81E-1	2.04E-1	-3.95E-1	3.65E-1	52121182.40	51920619.98	52020901.19	0.000000025
2014-08-15 10:34:49	-2.04E-1	2.06E-1	-3.80E-1	3.70E-1	-2.01E-1	2.28E-1	-3.80E-1	3.72E-1	52556161.16	53560355.27	53058258.22	0.000000025
2014-08-15 10:35:13	-2.10E-1	2.00E-1	-3.91E-1	3.65E-1	-1.85E-1	2.40E-1	-3.82E-1	3.77E-1	52828178.78	53674508.52	53251343.65	0.000000025
2014-08-15 10:35:41	-2.14E-1	1.98E-1	-3.97E-1	3.65E-1	-2.66E-1	5.60E-2	-3.84E-1	3.73E-1	53150678.64	48882108.40	51016393.52	0.000000025
